Date,Value
2020-02-29,-0.0017878426698451
2020-01-31,0.008313539192399
2019-12-31,0.013545347467609
2019-11-30,0.017088980553919
2019-10-31,0.012933568489124
2019-09-30,-0.0005868544600939
2019-08-31,-0.0023501762632197
2019-07-31,-0.0064820271066588
2019-06-30,-0.01357733175915
2019-05-31,-0.014766686355582
2019-04-30,-0.014757969303424
2019-03-31,-0.0076968620485494
2019-02-28,-0.011778563015312
2019-01-31,-0.012316715542522
2018-12-31,-0.0075978959672706
2018-11-30,-0.0058582308142941
2018-10-31,-0.0040983606557377
2018-09-30,0.0029429075927016
2018-08-31,0.0023557126030624
2018-07-31,-0.003523194362889
2018-06-30,-0.0029429075927016
2018-05-31,-0.0082015231400117
2018-04-30,-0.016831108531631
2018-03-31,-0.029310344827586
2018-02-28,-0.033029612756264
2018-01-31,-0.036178631995478
2017-12-31,-0.036599099099099
2017-11-30,-0.043697478991597
2017-10-31,-0.046875
2017-09-30,-0.05030743432085
2017-08-31,-0.047672462142456
2017-07-31,-0.044332210998878
2017-06-30,-0.045505617977528
2017-05-31,-0.047964305633017
2017-04-30,-0.043309272626319
2017-03-31,-0.038142620232172
2017-02-28,-0.035694673256453
2017-01-31,-0.031746031746032
2016-12-31,-0.032152588555858
2016-11-30,-0.034613304488913
2016-10-31,-0.030827474310438
2016-09-30,-0.031402273957769
2016-08-31,-0.032555615843733
2016-07-31,-0.034146341463415
2016-06-30,-0.032608695652174
2016-05-31,-0.024483133841132
2016-04-30,-0.014230979748221
2016-03-31,-0.0087671232876712
2016-02-29,-0.0043739748496446
2016-01-31,0.0027442371020856
2015-12-31,0.0076880834706205
2015-11-30,0.017051705170517
2015-10-31,0.023809523809524
2015-09-30,0.023268698060942
2015-08-31,0.021618625277162
2015-07-31,0.023862375138735
2015-06-30,0.027359017308766
2015-05-31,0.025097601784718
2015-04-30,0.022383883603805
2015-03-31,0.022408963585434
2015-02-28,0.011615044247788
2015-01-31,0.0099778270509978
2014-12-31,0.01505016722408
2014-11-30,0.012813370473538
2014-10-31,0.0072504182933631
2014-09-30,0.01290684624018
2014-08-31,0.018633540372671
2014-07-31,0.029126213592233
2014-06-30,0.027538726333907
2014-05-31,0.040023201856149
2014-04-30,0.056146572104019
2014-03-31,0.074007220216606
2014-02-28,0.11124769514444
2014-01-31,0.12891113892365
2013-12-31,0.1455938697318
2013-11-30,0.17473821989529
2013-10-31,0.18663136995367
2013-09-30,0.18013245033113
2013-08-31,0.18303273213093
2013-07-31,0.16967267869072
2013-06-30,0.16432865731463
2013-05-31,0.15472203616879
2013-04-30,0.1417004048583
2013-03-31,0.1260162601626
2013-02-28,0.10379918588874
2013-01-31,0.078272604588394
2012-12-31,0.047491638795987
2012-11-30,0.011250827266711
2012-10-31,-0.007227332457293
2012-09-30,-0.015645371577575
2012-08-31,-0.030440414507772
2012-07-31,-0.029812054439404
2012-06-30,-0.02156862745098
2012-05-31,-0.020983606557377
2012-04-30,-0.023715415019763
2012-03-31,-0.017310252996005
2012-02-29,-0.0047265361242404
2012-01-31,0.016460905349794
2011-12-31,0.043265875785066
2011-11-30,0.057382785164451
2011-10-31,0.063591893780573
2011-09-30,0.057201929703653
